TreatmentPooled,Mom.Taglft,Mom.Tagrt,Litter.ID,Offspring.Taglft,Offspring.Tagrt,Offspring.Growth.Rate
Control,F6168,F6169,F6168.F6169.1,H0482,H0483,1.415789474
Control,F8184,F8192,F8184.F8192.1,H1649,H1650,1.433333333
Control,F6168,F6169,F6168.F6169.1,H0478,H0479,1.388888889
Control,F6168,F6169,F6168.F6169.1,H0476,H0477,1.472222222
Control,F6168,F6169,F6168.F6169.1,H0480,H0481,1.5
Control,F8184,F8192,F8184.F8192.1,H1645,H1646,1.466666667
Control,F8184,F8192,F8184.F8192.1,H1647,H1648,1.5
Control,F8184,F8192,F8184.F8192.1,H1643,H1644,1.555555556
Fed GCs,F8110,F8111,F8110.F8111.1,H0484,H0485,2.516
Fed GCs,F8455,F8456,F8455.F8456.1,F3691,F3692,1.847619048
Fed GCs,F6506,F6518,F6506.F6518.1,H1453,H1454,1.908695652
Fed GCs,F8455,F8456,F8455.F8456.1,F3729,F3694,1.771428571
Fed GCs,F6506,F6518,F6506.F6518.1,H1455,H1456,2.104347826
Fed GCs,F6506,F6518,F6506.F6518.1,H1457,H1458,2.117391304
Fed GCs,F6506,F6518,F6506.F6518.1,H1451,H1452,2.169565217
Fed GCs,F8455,F8456,F8455.F8456.1,F3699,F3700,1.90952381
Fed GCs,F8455,F8456,F8455.F8456.1,F3697,F3698,1.919047619
Fed GCs,F8455,F8456,F8455.F8456.1,F3695,F3696,2.052380952
Fed GCs,F7320,F8150,F7320.F8150.1,F7172,F7175,2.114814815
Fed GCs,F8232,F8233,F8232.F8233.1,H0486,H0487,2.528
Fed GCs,F7320,F8150,F7320.F8150.1,H1237,H1238,2.240740741
Fed GCs,F7320,F8150,F7320.F8150.1,H1235,H1236,2.307407407
Fed GCs,F8232,F8233,F8232.F8233.1,H0488,H0490,2.632
Control,F3666,F3667,F3666.F3667.1,F7518,F7519,1.683333333
Control,F3666,F3667,F3666.F3667.1,F7516,F7517,1.529166667
Control,F3666,F3667,F3666.F3667.1,F7514,F7515,1.583333333
Control,F3666,F3667,F3666.F3667.1,H1824,H1825,1.7125
